

--- Monitor Started at 2026-03-25T04:47:04.863Z ---
[BATT] ADC=1849 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1677 V=6.21 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1847 V=6.20 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1850 V=6.19 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.21 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2024 V=6.22 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1851 V=6.21 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2018 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2024 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2024 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1840 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1855 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2027 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1635 V=6.22 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2027 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1852 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1846 V=6.23 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.22 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.25 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2035 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2020 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2030 V=6.29 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1851 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1858 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2027 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1850 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2025 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1850 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1851 V=6.24 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.26 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.27 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2025 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.30 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1856 V=6.28 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.29 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2027 V=6.31 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.32 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=1831 V=6.30 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.31 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.32 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.33 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.34 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2027 V=6.35 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.3° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.36 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2029 V=6.37 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2021 V=6.38 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.39 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.39 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.40 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=1852 V=6.38 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2034 V=6.39 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=1837 V=6.36 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.37 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=1845 V=6.35 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=1852 V=6.33 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2024 V=6.34 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2025 V=6.35 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2024 V=6.36 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2023 V=6.37 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2032 V=6.38 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2026 V=6.38 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2024 V=6.39 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2028 V=6.40 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2030 V=6.41 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
[BATT] ADC=2030 V=6.41 | L:0 R:0 | vL:0.0 vR:0.0 | θ:-0.2° [IMU] | Dist:0.00m
