

--- Monitor Started at 2026-04-06T13:13:56.200Z ---
L:92 R:2469 | vL:-2.3 vR:2.2 | θ:-76.9° LiDAR:OK
L:0 R:2552 | vL:-0.2 vR:0.2 | θ:-74.3° LiDAR:OK
L:0 R:2552 | vL:-0.0 vR:0.0 | θ:-74.2° LiDAR:OK
L:4 R:2546 | vL:0.1 vR:-0.2 | θ:-74.2° LiDAR:OK
L:244 R:2284 | vL:1.8 vR:-2.0 | θ:-77.6° LiDAR:OK
L:522 R:1986 | vL:2.2 vR:-2.3 | θ:-84.1° LiDAR:OK
L:801 R:1698 | vL:1.4 vR:-1.4 | θ:-90.8° LiDAR:OK
L:856 R:1641 | vL:0.2 vR:-0.2 | θ:-92.4° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
